producto_id,producto,codigo_interno,codigo_barras,precio_venta_actual,costo_compra_actual,flete_actual,ganancia_actual,inventario_id,almacen_id,almacen,stock_almacen,reservado,variante_id,talla,color,color_hex,stock_variante
591,"VESTIDO LARGO",GINBA1-08,GINBA1-08,727,,,,661,,,2,0,1035,M,"PALO DE ROSA",#99244f,1
592,"ENTERIZO LARGO",GINBA1-006,GINBA1-006,823,,,,662,,,1,0,1036,P,CAMEL,#ad3e00,1
593,"VESTIDO LARGO",GINBM1-017,GINBM1-017,477,,,,663,,,1,0,1050,UNICA,CAFE,#5c0701,1
594,"VESTIDO LARGO",GINDB2-06,GINDB2-06,715,,,,664,,,1,0,1051,P,BEIGE,#fff2d5,1
595,"VESTIDO LARGO",GINBM1-19,GINBM1-19,513,,,,665,,,1,0,1052,UNICA,CAMEL,#7b2900,1
597,"VESTIDO DE DOS PIEZAS",GINBM1-0017,GINBM1-0017,595,,,,667,,,1,0,1055,UNICA,BEIGE,#ffecd4,1
598,"VESTIDOS DE CUERO",GINBA1-94,GINBA1-94,447,,,,668,,,6,0,1056,UNICA,NEGRO,"",2
598,"VESTIDOS DE CUERO",GINBA1-94,GINBA1-94,447,,,,668,,,6,0,1057,UNICA,CAMEL,#ad3e00,3
598,"VESTIDOS DE CUERO",GINBA1-94,GINBA1-94,447,,,,668,,,6,0,1058,UNICA,GUINDA,#791a3d,1
599,"CHALECO TEJIDO",GIC-01,GIC-01,280,,,,669,,,0,0,1059,"Única",Cafe,#583300,0
600,"VESTIDO NEGRO",GINOV4-73,GINOV4-73,680,,,,670,,,0,0,1062,"Única",Negro,"",0
601,"VESTIDO TELA SASTRERA",GINBM1-0021,GINBM1-0021,489,,,,671,,,0,0,1061,"Única",Blanco,#ffffff,0
